Country;Month;Year;Lat;Lon;PM10 
Fontibon;3;23;0.32191535;0.0027104016;12
Fontibon;3;23;0.32191535;0.0027104016;22,7
Fontibon;3;23;0.32191535;0.0027104016;22,7
Fontibon;3;23;0.32191535;0.0027104016;31,3
Fontibon;3;23;0.32191535;0.0027104016;41
Fontibon;3;23;0.32191535;0.0027104016;54
Fontibon;3;23;0.32191535;0.0027104016;60,3
Fontibon;3;23;0.32191535;0.0027104016;58,8
Fontibon;3;23;0.32191535;0.0027104016;62,5
Fontibon;3;23;0.32191535;0.0027104016;48,7
Fontibon;3;23;0.32191535;0.0027104016;52,4
Fontibon;3;23;0.32191535;0.0027104016;47,4
Fontibon;3;23;0.32191535;0.0027104016;37
Fontibon;3;23;0.32191535;0.0027104016;31,1
Fontibon;3;23;0.32191535;0.0027104016;31
Fontibon;3;23;0.32191535;0.0027104016;24,1
Fontibon;3;23;0.32191535;0.0027104016;17,8
Fontibon;3;23;0.32191535;0.0027104016;13
Fontibon;3;23;0.32191535;0.0027104016;12
Fontibon;3;23;0.32191535;0.0027104016;17,9
Fontibon;3;23;0.32191535;0.0027104016;17
Fontibon;3;23;0.32191535;0.0027104016;16,1
Fontibon;3;23;0.32191535;0.0027104016;12,5
Fontibon;3;23;0.32191535;0.0027104016;20,3
Fontibon;3;23;0.32191535;0.0027104016;18
Fontibon;3;23;0.32191535;0.0027104016;30
Fontibon;3;23;0.32191535;0.0027104016;31,5
Fontibon;3;23;0.32191535;0.0027104016;40,6
Fontibon;3;23;0.32191535;0.0027104016;43,1
Fontibon;3;23;0.32191535;0.0027104016;38,9
Fontibon;3;23;0.32191535;0.0027104016;47,3
Fontibon;3;23;0.32191535;0.0027104016;65,1
Fontibon;3;23;0.32191535;0.0027104016;52,4
Fontibon;3;23;0.32191535;0.0027104016;43,6
Fontibon;3;23;0.32191535;0.0027104016;47,6
Fontibon;3;23;0.32191535;0.0027104016;48,4
Fontibon;3;23;0.32191535;0.0027104016;32,9
Fontibon;3;23;0.32191535;0.0027104016;32,7
Fontibon;3;23;0.32191535;0.0027104016;38,5
Fontibon;3;23;0.32191535;0.0027104016;47
Fontibon;3;23;0.32191535;0.0027104016;42,5
Fontibon;3;23;0.32191535;0.0027104016;16,9
Fontibon;3;23;0.32191535;0.0027104016;19,7
Fontibon;3;23;0.32191535;0.0027104016;8
Fontibon;3;23;0.32191535;0.0027104016;7,7
Fontibon;3;23;0.32191535;0.0027104016;12,9
Fontibon;3;23;0.32191535;0.0027104016;10,7
Fontibon;3;23;0.32191535;0.0027104016;8,6
Fontibon;3;23;0.32191535;0.0027104016;7
Fontibon;3;23;0.32191535;0.0027104016;6
Fontibon;3;23;0.32191535;0.0027104016;9,3
Fontibon;3;23;0.32191535;0.0027104016;16,7
Fontibon;3;23;0.32191535;0.0027104016;16,1
Fontibon;3;23;0.32191535;0.0027104016;22,7
Fontibon;3;23;0.32191535;0.0027104016;20,3
Fontibon;3;23;0.32191535;0.0027104016;16,6
Fontibon;3;23;0.32191535;0.0027104016;20,3
Fontibon;3;23;0.32191535;0.0027104016;23
Fontibon;3;23;0.32191535;0.0027104016;28
Fontibon;3;23;0.32191535;0.0027104016;20,9
Fontibon;3;23;0.32191535;0.0027104016;13,6
Fontibon;3;23;0.32191535;0.0027104016;11
Fontibon;3;23;0.32191535;0.0027104016;12,3
Fontibon;3;23;0.32191535;0.0027104016;20,8
Fontibon;3;23;0.32191535;0.0027104016;25,6
Fontibon;3;23;0.32191535;0.0027104016;22,3
Fontibon;3;23;0.32191535;0.0027104016;20,1
Fontibon;3;23;0.32191535;0.0027104016;32,1
Fontibon;3;23;0.32191535;0.0027104016;26,7
Fontibon;3;23;0.32191535;0.0027104016;23,7
Fontibon;3;23;0.32191535;0.0027104016;17,3
Fontibon;3;23;0.32191535;0.0027104016;24,4
Fontibon;3;23;0.32191535;0.0027104016;22,8
Fontibon;3;23;0.32191535;0.0027104016;36,7
Fontibon;3;23;0.32191535;0.0027104016;54,7
Fontibon;3;23;0.32191535;0.0027104016;70,2
Fontibon;3;23;0.32191535;0.0027104016;98,6
Fontibon;3;23;0.32191535;0.0027104016;74,3
Fontibon;3;23;0.32191535;0.0027104016;51,3
Fontibon;3;23;0.32191535;0.0027104016;46
Fontibon;3;23;0.32191535;0.0027104016;45,3
Fontibon;3;23;0.32191535;0.0027104016;76,9
Fontibon;3;23;0.32191535;0.0027104016;69,4
Fontibon;3;23;0.32191535;0.0027104016;63,9
Fontibon;3;23;0.32191535;0.0027104016;52,1
Fontibon;3;23;0.32191535;0.0027104016;57,5
Fontibon;3;23;0.32191535;0.0027104016;48,6
Fontibon;3;23;0.32191535;0.0027104016;53
Fontibon;3;23;0.32191535;0.0027104016;56,5
Fontibon;3;23;0.32191535;0.0027104016;40,7
Fontibon;3;23;0.32191535;0.0027104016;40,3
Fontibon;3;23;0.32191535;0.0027104016;44,1
Fontibon;3;23;0.32191535;0.0027104016;19,7
Fontibon;3;23;0.32191535;0.0027104016;12,6
Fontibon;3;23;0.32191535;0.0027104016;15,2
Fontibon;3;23;0.32191535;0.0027104016;10,4
Fontibon;3;23;0.32191535;0.0027104016;13
Fontibon;3;23;0.32191535;0.0027104016;12,3
Fontibon;3;23;0.32191535;0.0027104016;10
Fontibon;3;23;0.32191535;0.0027104016;15,6
Fontibon;3;23;0.32191535;0.0027104016;19,3
Fontibon;3;23;0.32191535;0.0027104016;19,6
Fontibon;3;23;0.32191535;0.0027104016;12,8
Fontibon;3;23;0.32191535;0.0027104016;18,7
Fontibon;3;23;0.32191535;0.0027104016;16,4
Fontibon;3;23;0.32191535;0.0027104016;13,3
Fontibon;3;23;0.32191535;0.0027104016;14,9
Fontibon;3;23;0.32191535;0.0027104016;14,9
Fontibon;3;23;0.32191535;0.0027104016;13,7
Fontibon;3;23;0.32191535;0.0027104016;11,7
Fontibon;3;23;0.32191535;0.0027104016;10,3
Fontibon;3;23;0.32191535;0.0027104016;11,7
Fontibon;3;23;0.32191535;0.0027104016;10,4
Fontibon;3;23;0.32191535;0.0027104016;15,4
Fontibon;3;23;0.32191535;0.0027104016;29,2
Fontibon;3;23;0.32191535;0.0027104016;24,7
Fontibon;3;23;0.32191535;0.0027104016;29
Fontibon;3;23;0.32191535;0.0027104016;29,3
Fontibon;3;23;0.32191535;0.0027104016;29
Fontibon;3;23;0.32191535;0.0027104016;15,9
Fontibon;3;23;0.32191535;0.0027104016;9,1
Fontibon;3;23;0.32191535;0.0027104016;7,7
Fontibon;3;23;0.32191535;0.0027104016;7,1
Fontibon;3;23;0.32191535;0.0027104016;14,4
Fontibon;3;23;0.32191535;0.0027104016;10,1
Fontibon;3;23;0.32191535;0.0027104016;12,6
Fontibon;3;23;0.32191535;0.0027104016;16,6
Fontibon;3;23;0.32191535;0.0027104016;19,6
Fontibon;3;23;0.32191535;0.0027104016;16,8
Fontibon;3;23;0.32191535;0.0027104016;9,4
Fontibon;3;23;0.32191535;0.0027104016;7
Fontibon;3;23;0.32191535;0.0027104016;12,9
Fontibon;3;23;0.32191535;0.0027104016;13,1
Fontibon;3;23;0.32191535;0.0027104016;22,4
Fontibon;3;23;0.32191535;0.0027104016;18,3
Fontibon;3;23;0.32191535;0.0027104016;13,6
Fontibon;3;23;0.32191535;0.0027104016;10,4
Fontibon;3;23;0.32191535;0.0027104016;11,9
Fontibon;3;23;0.32191535;0.0027104016;12,7
Fontibon;3;23;0.32191535;0.0027104016;17
Fontibon;3;23;0.32191535;0.0027104016;17,6
Fontibon;3;23;0.32191535;0.0027104016;19,6
Fontibon;3;23;0.32191535;0.0027104016;11,7
Fontibon;3;23;0.32191535;0.0027104016;16,3
Fontibon;3;23;0.32191535;0.0027104016;17,4
Fontibon;3;23;0.32191535;0.0027104016;14,7
Fontibon;3;23;0.32191535;0.0027104016;20,4
Fontibon;3;23;0.32191535;0.0027104016;27,3
Fontibon;3;23;0.32191535;0.0027104016;19,5
Fontibon;3;23;0.32191535;0.0027104016;32,3
Fontibon;3;23;0.32191535;0.0027104016;18,1
Fontibon;3;23;0.32191535;0.0027104016;30,9
Fontibon;3;23;0.32191535;0.0027104016;28,7
Fontibon;3;23;0.32191535;0.0027104016;19,9
Fontibon;3;23;0.32191535;0.0027104016;13,3
Fontibon;3;23;0.32191535;0.0027104016;14,4
Fontibon;3;23;0.32191535;0.0027104016;11,9
Fontibon;3;23;0.32191535;0.0027104016;12,6
Fontibon;3;23;0.32191535;0.0027104016;17,4
Fontibon;3;23;0.32191535;0.0027104016;25,2
Fontibon;3;23;0.32191535;0.0027104016;20,7
Fontibon;3;23;0.32191535;0.0027104016;26,8
Fontibon;3;23;0.32191535;0.0027104016;39,4
Fontibon;3;23;0.32191535;0.0027104016;46,5
Fontibon;3;23;0.32191535;0.0027104016;34,9
Fontibon;3;23;0.32191535;0.0027104016;22,3
Fontibon;3;23;0.32191535;0.0027104016;24,1
Fontibon;3;23;0.32191535;0.0027104016;29,5
Fontibon;3;23;0.32191535;0.0027104016;56,7
Fontibon;3;23;0.32191535;0.0027104016;54,9
Fontibon;3;23;0.32191535;0.0027104016;53,2
Fontibon;3;23;0.32191535;0.0027104016;49,5
Fontibon;3;23;0.32191535;0.0027104016;57,7
Fontibon;3;23;0.32191535;0.0027104016;46,8
Fontibon;3;23;0.32191535;0.0027104016;27,3
Fontibon;3;23;0.32191535;0.0027104016;28,3
Fontibon;3;23;0.32191535;0.0027104016;26,5
Fontibon;3;23;0.32191535;0.0027104016;41
Fontibon;3;23;0.32191535;0.0027104016;36,7
Fontibon;3;23;0.32191535;0.0027104016;47
Fontibon;3;23;0.32191535;0.0027104016;45,7
Fontibon;3;23;0.32191535;0.0027104016;38,3
Fontibon;3;23;0.32191535;0.0027104016;40,3
Fontibon;3;23;0.32191535;0.0027104016;42,6
Fontibon;3;23;0.32191535;0.0027104016;48,5
Fontibon;3;23;0.32191535;0.0027104016;68,6
Fontibon;3;23;0.32191535;0.0027104016;96,4
Fontibon;3;23;0.32191535;0.0027104016;89,3
Fontibon;3;23;0.32191535;0.0027104016;66,9
Fontibon;3;23;0.32191535;0.0027104016;62,9
Fontibon;3;23;0.32191535;0.0027104016;42,3
Fontibon;3;23;0.32191535;0.0027104016;30,5
Fontibon;3;23;0.32191535;0.0027104016;21,6
Fontibon;3;23;0.32191535;0.0027104016;25,6
Fontibon;3;23;0.32191535;0.0027104016;27,7
Fontibon;3;23;0.32191535;0.0027104016;20,8
Fontibon;3;23;0.32191535;0.0027104016;27
Fontibon;3;23;0.32191535;0.0027104016;32,7
Fontibon;3;23;0.32191535;0.0027104016;30
Fontibon;3;23;0.32191535;0.0027104016;24,6
Fontibon;3;23;0.32191535;0.0027104016;28,1
Fontibon;3;23;0.32191535;0.0027104016;30,3
Fontibon;3;23;0.32191535;0.0027104016;35,9
Fontibon;3;23;0.32191535;0.0027104016;25,7
Fontibon;3;23;0.32191535;0.0027104016;39,5
Fontibon;3;23;0.32191535;0.0027104016;26,1
Fontibon;3;23;0.32191535;0.0027104016;41,8
Fontibon;3;23;0.32191535;0.0027104016;63,9
Fontibon;3;23;0.32191535;0.0027104016;91,2
Fontibon;3;23;0.32191535;0.0027104016;73,6
Fontibon;3;23;0.32191535;0.0027104016;68,5
Fontibon;3;23;0.32191535;0.0027104016;54
Fontibon;3;23;0.32191535;0.0027104016;59,3
Fontibon;3;23;0.32191535;0.0027104016;51,9
Fontibon;3;23;0.32191535;0.0027104016;30,8
Fontibon;3;23;0.32191535;0.0027104016;17,4
Fontibon;3;23;0.32191535;0.0027104016;20,6
Fontibon;3;23;0.32191535;0.0027104016;25,4
Fontibon;3;23;0.32191535;0.0027104016;35,1
Fontibon;3;23;0.32191535;0.0027104016;41,2
Fontibon;3;23;0.32191535;0.0027104016;36,3
Fontibon;3;23;0.32191535;0.0027104016;41,7
Fontibon;3;23;0.32191535;0.0027104016;59,9
Fontibon;3;23;0.32191535;0.0027104016;37,5
Fontibon;3;23;0.32191535;0.0027104016;51,2
Fontibon;3;23;0.32191535;0.0027104016;40,6
Fontibon;3;23;0.32191535;0.0027104016;42,2
Fontibon;3;23;0.32191535;0.0027104016;31,3
Fontibon;3;23;0.32191535;0.0027104016;34,1
Fontibon;3;23;0.32191535;0.0027104016;44,8
Fontibon;3;23;0.32191535;0.0027104016;65,9
Fontibon;3;23;0.32191535;0.0027104016;64,9
Fontibon;3;23;0.32191535;0.0027104016;133,5
Fontibon;3;23;0.32191535;0.0027104016;105,9
Fontibon;3;23;0.32191535;0.0027104016;101,3
Fontibon;3;23;0.32191535;0.0027104016;75,9
Fontibon;3;23;0.32191535;0.0027104016;56,6
Fontibon;3;23;0.32191535;0.0027104016;57,1
Fontibon;3;23;0.32191535;0.0027104016;73,5
Fontibon;3;23;0.32191535;0.0027104016;58,4
Fontibon;3;23;0.32191535;0.0027104016;60,2
Fontibon;3;23;0.32191535;0.0027104016;53,6
Fontibon;3;23;0.32191535;0.0027104016;46,4
Fontibon;3;23;0.32191535;0.0027104016;55,8
Fontibon;3;23;0.32191535;0.0027104016;61,8
Fontibon;3;23;0.32191535;0.0027104016;67,4
Fontibon;3;23;0.32191535;0.0027104016;68,5
Fontibon;3;23;0.32191535;0.0027104016;60,4
Fontibon;3;23;0.32191535;0.0027104016;68,4
Fontibon;3;23;0.32191535;0.0027104016;59,1
Fontibon;3;23;0.32191535;0.0027104016;23,1
Fontibon;3;23;0.32191535;0.0027104016;22,9
Fontibon;3;23;0.32191535;0.0027104016;16,4
Fontibon;3;23;0.32191535;0.0027104016;20,5
Fontibon;3;23;0.32191535;0.0027104016;32,4
Fontibon;3;23;0.32191535;0.0027104016;46,4
Fontibon;3;23;0.32191535;0.0027104016;46,2
Fontibon;3;23;0.32191535;0.0027104016;71,1
Fontibon;3;23;0.32191535;0.0027104016;99,2
Fontibon;3;23;0.32191535;0.0027104016;78,3
Fontibon;3;23;0.32191535;0.0027104016;53,5
Fontibon;3;23;0.32191535;0.0027104016;37
Fontibon;3;23;0.32191535;0.0027104016;34,4
Fontibon;3;23;0.32191535;0.0027104016;56,8
Fontibon;3;23;0.32191535;0.0027104016;64,3
Fontibon;3;23;0.32191535;0.0027104016;40,6
Fontibon;3;23;0.32191535;0.0027104016;32,8
Fontibon;3;23;0.32191535;0.0027104016;36,6
Fontibon;3;23;0.32191535;0.0027104016;25,9
Fontibon;3;23;0.32191535;0.0027104016;15
Fontibon;3;23;0.32191535;0.0027104016;25,9
Fontibon;3;23;0.32191535;0.0027104016;19,4
Fontibon;3;23;0.32191535;0.0027104016;21,9
Fontibon;3;23;0.32191535;0.0027104016;21,3
Fontibon;3;23;0.32191535;0.0027104016;22,3
Fontibon;3;23;0.32191535;0.0027104016;16,5
Fontibon;3;23;0.32191535;0.0027104016;14,1
Fontibon;3;23;0.32191535;0.0027104016;15,4
Fontibon;3;23;0.32191535;0.0027104016;17,3
Fontibon;3;23;0.32191535;0.0027104016;13
Fontibon;3;23;0.32191535;0.0027104016;17,9
Fontibon;3;23;0.32191535;0.0027104016;43,8
Fontibon;3;23;0.32191535;0.0027104016;17,7
Fontibon;3;23;0.32191535;0.0027104016;16,6
Fontibon;3;23;0.32191535;0.0027104016;17,9
Fontibon;3;23;0.32191535;0.0027104016;8,2
Fontibon;3;23;0.32191535;0.0027104016;7,7
Fontibon;3;23;0.32191535;0.0027104016;18
Fontibon;3;23;0.32191535;0.0027104016;19,7
Fontibon;3;23;0.32191535;0.0027104016;28,7
Fontibon;3;23;0.32191535;0.0027104016;20,7
Fontibon;3;23;0.32191535;0.0027104016;19,1
Fontibon;3;23;0.32191535;0.0027104016;20,6
Fontibon;3;23;0.32191535;0.0027104016;24,6
Fontibon;3;23;0.32191535;0.0027104016;27,7
Fontibon;3;23;0.32191535;0.0027104016;28,1
Fontibon;3;23;0.32191535;0.0027104016;41,7
Fontibon;3;23;0.32191535;0.0027104016;44,5
Fontibon;3;23;0.32191535;0.0027104016;32,3
Fontibon;3;23;0.32191535;0.0027104016;17,1
Fontibon;3;23;0.32191535;0.0027104016;22,2
Fontibon;3;23;0.32191535;0.0027104016;18,5
Fontibon;3;23;0.32191535;0.0027104016;29,5
Fontibon;3;23;0.32191535;0.0027104016;40,3
Fontibon;3;23;0.32191535;0.0027104016;50,5
Fontibon;3;23;0.32191535;0.0027104016;63,8
Fontibon;3;23;0.32191535;0.0027104016;47,5
Fontibon;3;23;0.32191535;0.0027104016;32,6
Fontibon;3;23;0.32191535;0.0027104016;35
Fontibon;3;23;0.32191535;0.0027104016;29,6
Fontibon;3;23;0.32191535;0.0027104016;31,2
Fontibon;3;23;0.32191535;0.0027104016;20,8
Fontibon;3;23;0.32191535;0.0027104016;25,2
Fontibon;3;23;0.32191535;0.0027104016;20,3
Fontibon;3;23;0.32191535;0.0027104016;22,7
Fontibon;3;23;0.32191535;0.0027104016;26,2
Fontibon;3;23;0.32191535;0.0027104016;22,7
Fontibon;3;23;0.32191535;0.0027104016;30,6
Fontibon;3;23;0.32191535;0.0027104016;35,1
Fontibon;3;23;0.32191535;0.0027104016;41,7
Fontibon;3;23;0.32191535;0.0027104016;40,6
Fontibon;3;23;0.32191535;0.0027104016;45,1
Fontibon;3;23;0.32191535;0.0027104016;50,2
Fontibon;3;23;0.32191535;0.0027104016;37,5
Fontibon;3;23;0.32191535;0.0027104016;27,2
Fontibon;3;23;0.32191535;0.0027104016;23,1
Fontibon;3;23;0.32191535;0.0027104016;34,1
Fontibon;3;23;0.32191535;0.0027104016;62,2
Fontibon;3;23;0.32191535;0.0027104016;91,6
Fontibon;3;23;0.32191535;0.0027104016;141,9
Fontibon;3;23;0.32191535;0.0027104016;87,4
Fontibon;3;23;0.32191535;0.0027104016;55,6
Fontibon;3;23;0.32191535;0.0027104016;35,4
Fontibon;3;23;0.32191535;0.0027104016;37
Fontibon;3;23;0.32191535;0.0027104016;35,4
Fontibon;3;23;0.32191535;0.0027104016;65,8
Fontibon;3;23;0.32191535;0.0027104016;84,8
Fontibon;3;23;0.32191535;0.0027104016;59
Fontibon;3;23;0.32191535;0.0027104016;58,3
Fontibon;3;23;0.32191535;0.0027104016;53,3
Fontibon;3;23;0.32191535;0.0027104016;50,7
Fontibon;3;23;0.32191535;0.0027104016;61,6
Fontibon;3;23;0.32191535;0.0027104016;62,1
Fontibon;3;23;0.32191535;0.0027104016;41,1
Fontibon;3;23;0.32191535;0.0027104016;22,4
Fontibon;3;23;0.32191535;0.0027104016;20,1
Fontibon;3;23;0.32191535;0.0027104016;27,4
Fontibon;3;23;0.32191535;0.0027104016;31,5
Fontibon;3;23;0.32191535;0.0027104016;42,3
Fontibon;3;23;0.32191535;0.0027104016;51,4
Fontibon;3;23;0.32191535;0.0027104016;61,1
Fontibon;3;23;0.32191535;0.0027104016;71,5
Fontibon;3;23;0.32191535;0.0027104016;95,9
Fontibon;3;23;0.32191535;0.0027104016;107,8
Fontibon;3;23;0.32191535;0.0027104016;70,6
Fontibon;3;23;0.32191535;0.0027104016;72,2
Fontibon;3;23;0.32191535;0.0027104016;56,9
Fontibon;3;23;0.32191535;0.0027104016;31,9
Fontibon;3;23;0.32191535;0.0027104016;33,5
Fontibon;3;23;0.32191535;0.0027104016;50,8
Fontibon;3;23;0.32191535;0.0027104016;60
Fontibon;3;23;0.32191535;0.0027104016;47
Fontibon;3;23;0.32191535;0.0027104016;41,7
Fontibon;3;23;0.32191535;0.0027104016;47,3
Fontibon;3;23;0.32191535;0.0027104016;56
Fontibon;3;23;0.32191535;0.0027104016;63,1
Fontibon;3;23;0.32191535;0.0027104016;71,1
Fontibon;3;23;0.32191535;0.0027104016;76,5
Fontibon;3;23;0.32191535;0.0027104016;72,8
Fontibon;3;23;0.32191535;0.0027104016;104,2
Fontibon;3;23;0.32191535;0.0027104016;77,5
Fontibon;3;23;0.32191535;0.0027104016;62,4
Fontibon;3;23;0.32191535;0.0027104016;65,4
Fontibon;3;23;0.32191535;0.0027104016;67,9
Fontibon;3;23;0.32191535;0.0027104016;65,6
Fontibon;3;23;0.32191535;0.0027104016;59,5
Fontibon;3;23;0.32191535;0.0027104016;78,1
Fontibon;3;23;0.32191535;0.0027104016;97,4
Fontibon;3;23;0.32191535;0.0027104016;101,8
Fontibon;3;23;0.32191535;0.0027104016;109,1
Fontibon;3;23;0.32191535;0.0027104016;86,1
Fontibon;3;23;0.32191535;0.0027104016;92,2
Fontibon;3;23;0.32191535;0.0027104016;88
Fontibon;3;23;0.32191535;0.0027104016;90,9
Fontibon;3;23;0.32191535;0.0027104016;70
Fontibon;3;23;0.32191535;0.0027104016;57,4
Fontibon;3;23;0.32191535;0.0027104016;53,7
Fontibon;3;23;0.32191535;0.0027104016;52
Fontibon;3;23;0.32191535;0.0027104016;51,6
Fontibon;3;23;0.32191535;0.0027104016;51,5
Fontibon;3;23;0.32191535;0.0027104016;66,4
Fontibon;3;23;0.32191535;0.0027104016;69,4
Fontibon;3;23;0.32191535;0.0027104016;68,5
Fontibon;3;23;0.32191535;0.0027104016;45,9
Fontibon;3;23;0.32191535;0.0027104016;32,3
Fontibon;3;23;0.32191535;0.0027104016;34,2
Fontibon;3;23;0.32191535;0.0027104016;48,6
Fontibon;3;23;0.32191535;0.0027104016;58,1
Fontibon;3;23;0.32191535;0.0027104016;60,5
Fontibon;3;23;0.32191535;0.0027104016;71,6
Fontibon;3;23;0.32191535;0.0027104016;80,9
Fontibon;3;23;0.32191535;0.0027104016;46,2
Fontibon;3;23;0.32191535;0.0027104016;51,5
Fontibon;3;23;0.32191535;0.0027104016;42
Fontibon;3;23;0.32191535;0.0027104016;35
Fontibon;3;23;0.32191535;0.0027104016;35,7
